11,Жогорку Кенеш Кыргызской Республики
74 1 1 0,Национальный статистический комитет Кыргызской Республики (аппарат)
75,Фонд по управлению государственным имуществом Кыргызской Республики
75 1 1 0,Фонд по управлению государственным имуществом Кыргызской Республики (аппарат)
75 1 2 0,Фонд по управлению государственным имуществом Кыргызской Республики (подведомственные учреждения)
75 1 3 0,"Государственное предприятие ""Информационный центр"" при Фонде по управлению государственным имуществом Кыргызской Республики "
75 1 4 0,Иссыккульский племеной конный завод № 54 при Фонде по управлению государственным имуществом Кыргызской Республики 
75 1 5 0,"Государственное предприятие ""Государственное подсобное хозяйство ""Элита"""" при Фонде по управлению государственным имуществом Кыргызской Республики "
75 9 1 0,Фонд по управлению государственным имуществом Кыргызской Республики (ПГИ) софинансирование
75 9 2 0,Фонд по управлению государственным имуществом Кыргызской Республики (Грант) 
75 9 3 0,Фонд по управлению государственным имуществом Кыргызской Республики (Кредит)
76,Фонд государственных материальных резервов при Правительстве Кыргызской Республики
76 1 2 1,Фонд государственных материальных резервов при Правительстве Кыргызской Республики
77,Высшая аттестационная комиссия Кыргызской Республики
77 1 1 0,Высшая аттестационная комиссия Кыргызской Республики (аппарат)
78,Торгово-промышленная палата
78 1 2 0,Торгово-промышленная палата
80,Национальная Академия наук Кыргызской Республики
80 1 2 0,Национальная Академия наук Кыргызской Республики
84,Редакции журналов и газет
84 1 2 0,"Редакция газеты ""Эркин-тоо"""
84 2 2 0,"Издательский дом ""Слово Кыргызстана"""
84 2 3 0,"Издательский дом ""Кыргыз Туусу"""
85,Телерадиовещательные компании Кыргызской Республики
85 1 2 1,Общественная телерадиовещательная корпорация Кыргызской Республики
85 2 2 1,"Национальный филиал межгосударственной телерадиовещательной компании ""Мир"" в Кыргызской Республике"
85 3 2 1,"Телерадиокомпания Кыргызской Республики ""Общественное телевидение ЭлТР"""
85 4 2 1,"Общественная региональная телерадиовещательная компания ""Ынтымак"""
87,Кыргызский жилищно-коммунальный союз
87 1 2 1,"ГП ""Кыргызский жилищно-коммунальный союз"""
87 2 2 0,"ГП ""Кыргызский жилищно-коммунальный союз""  (Республиканский специализированный комбинат)"
88,Социальный фонд Кыргызской Республики
88 1 2 1,Социальный фонд Кыргызской Республики
92,Местные органы административного управления
92 1 1 0,Местные органы управления (кенеши)- аппараты 
92 2 1 0,Местные администрации (аппараты)
92 2 2 0,Местные администратиции (подведомственные учреждения)
92 2 3 0,РФ местных администраций
92 3 1 0,Айыл-окмоту ( аппараты )
92 3 2 0,Айыл-окмоту ( подведомственные учреждения )
